id,title,date,description,digitized,language,subject,location_city,location_state,location_country,image_url,url,item_date_issued,item_created_published,item_medium,item_language,item_newspaper_title,item_lccn,item_place_of_publication
http://www.loc.gov/item/sn84020657/1914-07-27/ed-1/,"the alaska daily empire (juneau, alaska), july 27, 1914",1914-07-27,"juneau, alaska",True,english,"united states, juneau, juneau (alaska), alaska, newspapers",juneau,alaska,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:ak:batch_ak_albatross_ver01:data:sn84020657:00279550663:1914072701:0091/full/pct:6.25/0/default.jpg#h=511&w=379,https://www.loc.gov/item/sn84020657/1914-07-27/ed-1/,1914-07-27,"juneau, alaska, july 27, 1914",4 pages,eng,the alaska daily empire,sn84020657,"juneau, alaska"
http://www.loc.gov/item/sn82014434/1851-03-14/ed-1/,"the republic (washington [d.c.]), march 14, 1851",1851-03-14,washington [d.c.],True,english,"united states, washington (d.c.), washington, district of columbia, newspapers",washington,district of columbia,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:dlc:batch_dlc_dragon_ver01:data:sn82014434:00415661393:1851031401:0320/full/pct:3.125/0/default.jpg#h=267&w=217,https://www.loc.gov/item/sn82014434/1851-03-14/ed-1/,1851-03-14,"washington [d.c.], march 14, 1851",8 pages,eng,the republic.,sn82014434,washington [d.c.]
http://www.loc.gov/item/sn90061308/1912-05-03/ed-1/,"the monett times (monett, mo.), may 3, 1912, (weekly edition)",1912-05-03,"monett, mo.",True,english,"monett, barry, monett (mo.), united states, missouri, newspapers",monett,missouri,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mohi:batch_mohi_dagwood_ver01:data:sn90061308:0029455581A:1912050301:0138/full/pct:6.25/0/default.jpg#h=478&w=348,https://www.loc.gov/item/sn90061308/1912-05-03/ed-1/,1912-05-03,"monett, mo., may 3, 1912",8 pages,eng,the monett times.,sn90061308,"monett, mo."
http://www.loc.gov/item/2023271000/1949-01-07/ed-1/,"the powder keg (hastings, neb.), january 7, 1949",1949-01-07,"hastings, neb.",True,english,"ammunition, united states, nebraska, hastings, adams, u.s. naval ammunition depot (hastings, neb.), newspapers",hastings,nebraska,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:nbu:batch_nbu_bluejay_ver02:data:2023271000:0051701414A:1949010701:1175/full/pct:12.5/0/default.jpg#h=434&w=328,https://www.loc.gov/item/2023271000/1949-01-07/ed-1/,1949-01-07,"hastings, neb., january 7, 1949",4 pages,eng,the powder keg,2023271000,"hastings, neb."
http://www.loc.gov/item/sn96027724/1907-08-28/ed-1/,"the florida agriculturist (deland, fla.), august 28, 1907",1907-08-28,"deland, fla.",True,english,"jacksonville (fla.), de land, de land (fla.), agriculture, duval county (fla.), volusia county, volusia, florida, volusia county (fla.), jacksonville, united states, duval, duval county, newspapers","jacksonville, de land",florida,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:fu:batch_fu_bathouse_ver01:data:sn96027724:00271761648:1907082801:0128/full/pct:3.125/0/default.jpg#h=314&w=220,https://www.loc.gov/item/sn96027724/1907-08-28/ed-1/,1907-08-28,"deland, fla., august 28, 1907",16 pages,eng,the florida agriculturist,sn96027724,"deland, fla."
http://www.loc.gov/item/sn87093039/1917-05-04/ed-1/,"the leavenworth echo (leavenworth, wash.), may 4, 1917",1917-05-04,"leavenworth, wash.",True,english,"leavenworth, washington (state), united states, leavenworth (wash.), washington, chelan, newspapers",leavenworth,washington,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:wa:batch_wa_cedar_ver01:data:sn87093039:0021110059A:1917050401:0106/full/pct:6.25/0/default.jpg#h=404&w=297,https://www.loc.gov/item/sn87093039/1917-05-04/ed-1/,1917-05-04,"leavenworth, wash., may 4, 1917",6 pages,eng,the leavenworth echo,sn87093039,"leavenworth, wash."
http://www.loc.gov/item/sn94052361/1885-12-12/ed-1/,"the daily tombstone (tombstone, ariz.), december 12, 1885",1885-12-12,"tombstone, ariz.",True,english,"tombstone (ariz.), united states, cochise, arizona, cochise county (ariz.), tombstone, cochise county, newspapers",tombstone,arizona,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:az:batch_az_dragonfly_ver01:data:sn94052361:00211107145:1885121201:0592/full/pct:6.25/0/default.jpg#h=410&w=295,https://www.loc.gov/item/sn94052361/1885-12-12/ed-1/,1885-12-12,"tombstone, ariz., december 12, 1885",4 pages,eng,the daily tombstone,sn94052361,"tombstone, ariz."
http://www.loc.gov/item/sn86064199/1899-04-18/ed-1/,"el paso daily herald (el paso, tex.), april 18, 1899, (third edition)",1899-04-18,"el paso, tex.",True,english,"el paso (tex.), el paso county (tex.), united states, texas, el paso, newspapers",el paso,texas,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:txdn:batch_txdn_gmc_ver02:data:sn86064199:00200296692:1899041801:0155/full/pct:6.25/0/default.jpg#h=451&w=346,https://www.loc.gov/item/sn86064199/1899-04-18/ed-1/,1899-04-18,"el paso, tex., april 18, 1899",8 pages,eng,el paso daily herald,sn86064199,"el paso, tex."
http://www.loc.gov/item/sn83045313/1938-10-19/ed-1/,"le messager (lewiston, me.), october 19, 1938",1938-10-19,"lewiston, me.",True,"english, french","androscoggin, french americans, lewiston (me.), united states, french-canadians, maine, french, lewiston, newspapers",lewiston,maine,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:me:batch_me_franco_ver01:data:sn83045313:00542860807:1938101901:0732/full/pct:6.25/0/default.jpg#h=417&w=318,https://www.loc.gov/item/sn83045313/1938-10-19/ed-1/,1938-10-19,"lewiston, me., october 19, 1938",8 pages,"fre, eng",le messager,sn83045313,"lewiston, me."
http://www.loc.gov/item/sn83035644/1921-10-05/ed-1/,"america (cleveland, ohio), october 5, 1921",1921-10-05,"cleveland, ohio",True,"romanian, english","detroit, michigan, ohio, wayne, romanian americans, united states, cleveland, canada, labor, cleveland (ohio), detroit (mich.), cuyahoga, romanian orthodox episcopate of america, romanian, romanians, newspapers","cleveland, detroit","ohio, michigan",united states,https://tile.loc.gov/image-services/iiif/service:ndnp:ohi:batch_ohi_kino_ver04:data:sn83035644:00414210429:1921100501:0252/full/pct:3.125/0/default.jpg#h=284&w=223,https://www.loc.gov/item/sn83035644/1921-10-05/ed-1/,1921-10-05,"cleveland, ohio, october 5, 1921",4 pages,"rum, eng",america,sn83035644,"cleveland, ohio"
http://www.loc.gov/item/sn82014381/1882-06-13/ed-1/,"sacramento daily record-union (sacramento [calif.]), june 13, 1882",1882-06-13,sacramento [calif.],True,english,"sacramento (calif.), sacramento, united states, sacramento county (calif.), sacramento county, california, newspapers",sacramento,california,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:curiv:batch_curiv_lytton_ver01:data:sn82014381:00175037974:1882061301:0431/full/pct:3.125/0/default.jpg#h=272&w=201,https://www.loc.gov/item/sn82014381/1882-06-13/ed-1/,1882-06-13,"sacramento [calif.], june 13, 1882",4 pages,eng,sacramento daily record-union,sn82014381,sacramento [calif.]
http://www.loc.gov/item/2023271006/1931-02-06/ed-1/,"the fort snelling bulletin (fort snelling, minn.), february 6, 1931",1931-02-06,"fort snelling, minn.",True,english,"fort snelling (minn.), fort snelling, hennepin, united states, minnesota",fort snelling,minnesota,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mnhi:batch_mnhi_falstaff_ver01:data:2023271006:00517012269:1931020601:0497/full/pct:6.25/0/default.jpg#h=348&w=214,https://www.loc.gov/item/2023271006/1931-02-06/ed-1/,1931-02-06,"fort snelling, minn., february 6, 1931",4 pages,eng,the fort snelling bulletin,2023271006,"fort snelling, minn."
http://www.loc.gov/item/sn89061522/1956-01-19/ed-1/,"greenbelt news review (greenbelt, md.), january 19, 1956",1956-01-19,"greenbelt, md.",True,english,"greenbelt, prince george's, united states, greenbelt (md.), maryland, newspapers",greenbelt,maryland,united states,https://tile.loc.gov/image-services/iiif/service:ndnp:mdu:batch_mdu_columbine_ver02:data:sn89061522:print:1956011901:0001/full/pct:6.25/0/default.jpg#h=451&w=310,https://www.loc.gov/item/sn89061522/1956-01-19/ed-1/,1956-01-19,"greenbelt, md., january 19, 1956",2 pages,eng,greenbelt news review.,sn89061522,"greenbelt, md."
